starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 20:52:25 2022	1664797945	0	1065	1065	1064
Mon Oct 03 20:52:29 2022	1664797949	0	1065	1065	1064
Mon Oct 03 20:52:35 2022	1664797955	0	1065	1065	1065
Mon Oct 03 20:52:39 2022	1664797959	0	1065	1065	1065
Mon Oct 03 20:52:43 2022	1664797963	0	1065	1065	1065
Mon Oct 03 20:52:40 2022	1664797960	0	1065	1065	1065
Mon Oct 03 20:52:35 2022	1664797955	0	1065	1065	1065
Mon Oct 03 20:52:41 2022	1664797961	0	1065	1065	1065
Mon Oct 03 20:52:42 2022	1664797962	0	1066	1066	1066
Mon Oct 03 20:52:42 2022	1664797962	0	1066	1066	1066
Mon Oct 03 20:52:39 2022	1664797959	0	1066	1066	1066
Mon Oct 03 20:52:34 2022	1664797954	0	1066	1066	1066
Mon Oct 03 20:52:31 2022	1664797951	0	1066	1066	1066
Mon Oct 03 20:52:29 2022	1664797949	0	1066	1067	1066
Mon Oct 03 20:52:40 2022	1664797960	0	1066	1067	1066
Mon Oct 03 20:52:25 2022	1664797945	0	1067	1067	1067
Mon Oct 03 20:52:38 2022	1664797958	0	1067	1067	1067
Mon Oct 03 20:52:25 2022	1664797945	0	1067	1067	1066
Mon Oct 03 20:52:43 2022	1664797963	0	1067	1067	1067
Mon Oct 03 20:52:42 2022	1664797962	0	1067	1067	1067
Mon Oct 03 20:52:27 2022	1664797947	0	1067	1067	1067
Mon Oct 03 20:52:42 2022	1664797962	0	1067	1067	1067
Mon Oct 03 20:52:40 2022	1664797960	0	1067	1067	1067
Mon Oct 03 20:52:40 2022	1664797960	0	1067	1067	1067
Mon Oct 03 20:52:36 2022	1664797956	0	1068	1068	1068
Mon Oct 03 20:52:34 2022	1664797954	0	1068	1068	1068
Mon Oct 03 20:52:34 2022	1664797954	0	1068	1068	1068
Mon Oct 03 20:52:38 2022	1664797958	0	1068	1068	1068
Mon Oct 03 20:52:38 2022	1664797958	0	1068	1068	1068
Mon Oct 03 20:52:42 2022	1664797962	0	1069	1069	1068
Mon Oct 03 20:52:38 2022	1664797958	0	1069	1069	1069
Mon Oct 03 20:52:36 2022	1664797956	0	1069	1069	1069
Mon Oct 03 20:52:29 2022	1664797949	0	1069	1069	1069
Mon Oct 03 20:52:33 2022	1664797953	0	1069	1069	1069
Mon Oct 03 20:52:31 2022	1664797951	0	1069	1069	1069
Mon Oct 03 20:52:31 2022	1664797951	0	1069	1070	1069
Mon Oct 03 20:52:30 2022	1664797950	0	1069	1070	1069
Mon Oct 03 20:52:42 2022	1664797962	0	1070	1070	1069
Mon Oct 03 20:52:34 2022	1664797954	0	1070	1070	1070
Mon Oct 03 20:52:24 2022	1664797944	0	1070	1070	1070
Mon Oct 03 20:52:40 2022	1664797960	1	1070	1070	1069
Mon Oct 03 20:52:27 2022	1664797947	0	1070	1070	1070
Mon Oct 03 20:52:31 2022	1664797951	0	1070	1070	1070
Mon Oct 03 20:52:35 2022	1664797955	0	1071	1071	1070
Mon Oct 03 20:52:35 2022	1664797955	0	1071	1071	1071
Mon Oct 03 20:52:29 2022	1664797949	0	1071	1071	1071
Mon Oct 03 20:52:36 2022	1664797956	0	1071	1071	1071
Mon Oct 03 20:52:38 2022	1664797958	0	1071	1071	1071
